,idTurma,matricula,ano,idAluno,notaProva1,questoesFeitasProva1,quantidadeProva1,tituloProva1,notaProva2,questoesFeitasProva2,quantidadeProva2,tituloProva2,mediaProvas,situacao,qsub1,qsub2,qsub3,qsub4,qsub5,qsubp1,qsubp2,totalsub,igualACeml123,igualACeml45
0,598e15296d8650eb27d52e3d,20170096736.0,2017.2,5991cd63b3c8b42f3d5da402,24.0,3.0,5.0,Prova 1 - Turma 01 - 2017.2,61.0,4.0,6.0,Prova 2 - Turma 01 - 2017.2,42.5,0,18,15,13,27,7,46,34,80,29,32
1,598e15296d8650eb27d52e3d,20170039453.0,2017.2,5991cb910be9d42f2f68b906,72.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,16.666666666666668,1.0,6.0,Prova 2 - Turma 01 - 2017.2,44.333333333333336,0,7,14,10,13,16,31,29,60,31,29
2,598e15296d8650eb27d52e3d,20170036513.0,2017.2,599b050710b11c07650122e7,36.0,4.0,5.0,Prova 1 - Turma 01 - 2017.2,0.0,0.0,0.0,0,18.0,0,1,5,3,4,6,9,10,19,9,10
3,598e15296d8650eb27d52e3d,20170034555.0,2017.2,599b0509872c0a078b68b140,4.0,4.0,5.0,Prova 1 - Turma 01 - 2017.2,38.833333333333336,4.0,6.0,Prova 2 - Turma 01 - 2017.2,21.416666666666668,0,2,6,8,7,3,16,10,26,15,10
4,598e15296d8650eb27d52e3d,20170109100.0,2017.2,599b0513495fac076a06d3f4,16.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,77.66666666666667,6.0,6.0,Prova 2 - Turma 01 - 2017.2,46.833333333333336,0,1,12,7,7,11,20,18,38,18,18
5,598e15296d8650eb27d52e3d,20170106538.0,2017.2,599b051d495fac076a06d3f5,52.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,0.0,1.0,6.0,Prova 2 - Turma 01 - 2017.2,26.0,0,3,15,6,3,7,24,10,34,19,7
6,598e15296d8650eb27d52e3d,20170097214.0,2017.2,599b051f10b11c07650122e8,76.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,0.0,0.0,0.0,0,38.0,0,2,8,7,5,5,17,10,27,16,10
7,598e15296d8650eb27d52e3d,20170039972.0,2017.2,599b0522495fac076a06d3f6,24.0,4.0,5.0,Prova 1 - Turma 01 - 2017.2,16.666666666666668,5.0,6.0,Prova 2 - Turma 01 - 2017.2,20.333333333333336,0,4,12,4,13,14,20,27,47,12,17
8,598e15296d8650eb27d52e3d,20170032274.0,2017.2,599b053410b11c07650122e9,32.0,4.0,5.0,Prova 1 - Turma 01 - 2017.2,77.66666666666667,6.0,6.0,Prova 2 - Turma 01 - 2017.2,54.833333333333336,1,1,6,8,21,10,15,31,46,13,16
9,598e15296d8650eb27d52e3d,20170036872.0,2017.2,599b053e495fac076a06d3f7,60.0,5.0,5.0,Prova 1 - Turma 01 - 2017.2,5.5,6.0,6.0,Prova 2 - Turma 01 - 2017.2,32.75,0,6,20,7,6,4,33,10,43,29,10
